date,total,east,west,time
2019-01-01,1.0,1.0,0.0,00:00:00
2019-01-01,2.0,0.0,2.0,01:00:00
2019-01-01,0.0,0.0,0.0,02:00:00
2019-01-01,1.0,0.0,1.0,03:00:00
2019-01-01,0.0,0.0,0.0,04:00:00
2019-01-01,0.0,0.0,0.0,05:00:00
2019-01-01,0.0,0.0,0.0,06:00:00
2019-01-01,1.0,0.0,1.0,07:00:00
2019-01-01,3.0,1.0,2.0,08:00:00
2019-01-01,1.0,1.0,0.0,09:00:00
2019-01-01,1.0,0.0,1.0,10:00:00
2019-01-01,2.0,1.0,1.0,11:00:00
2019-01-01,7.0,5.0,2.0,12:00:00
2019-01-01,10.0,8.0,2.0,13:00:00
2019-01-01,3.0,2.0,1.0,14:00:00
2019-01-01,13.0,5.0,8.0,15:00:00
2019-01-01,10.0,7.0,3.0,16:00:00
2019-01-01,6.0,2.0,4.0,17:00:00
2019-01-01,1.0,0.0,1.0,18:00:00
2019-01-01,2.0,2.0,0.0,19:00:00
2019-01-01,2.0,2.0,0.0,20:00:00
2019-01-01,2.0,1.0,1.0,21:00:00
2019-01-01,0.0,0.0,0.0,22:00:00
2019-01-01,0.0,0.0,0.0,23:00:00
2019-01-02,1.0,0.0,1.0,00:00:00
2019-01-02,0.0,0.0,0.0,01:00:00
2019-01-02,0.0,0.0,0.0,02:00:00
2019-01-02,0.0,0.0,0.0,03:00:00
2019-01-02,0.0,0.0,0.0,04:00:00
2019-01-02,0.0,0.0,0.0,05:00:00
2019-01-02,2.0,1.0,1.0,06:00:00
2019-01-02,4.0,3.0,1.0,07:00:00
2019-01-02,4.0,3.0,1.0,08:00:00
2019-01-02,9.0,6.0,3.0,09:00:00
2019-01-02,2.0,2.0,0.0,10:00:00
2019-01-02,4.0,4.0,0.0,11:00:00
2019-01-02,9.0,6.0,3.0,12:00:00
2019-01-02,5.0,2.0,3.0,13:00:00
2019-01-02,3.0,2.0,1.0,14:00:00
2019-01-02,4.0,4.0,0.0,15:00:00
2019-01-02,8.0,2.0,6.0,16:00:00
2019-01-02,16.0,9.0,7.0,17:00:00
2019-01-02,7.0,4.0,3.0,18:00:00
2019-01-02,5.0,2.0,3.0,19:00:00
2019-01-02,1.0,0.0,1.0,20:00:00
2019-01-02,3.0,1.0,2.0,21:00:00
2019-01-02,0.0,0.0,0.0,22:00:00
2019-01-02,1.0,1.0,0.0,23:00:00
2019-01-03,0.0,0.0,0.0,00:00:00
2019-01-03,0.0,0.0,0.0,01:00:00
2019-01-03,0.0,0.0,0.0,02:00:00
2019-01-03,0.0,0.0,0.0,03:00:00
2019-01-03,0.0,0.0,0.0,04:00:00
2019-01-03,0.0,0.0,0.0,05:00:00
2019-01-03,1.0,0.0,1.0,06:00:00
2019-01-03,6.0,5.0,1.0,07:00:00
2019-01-03,5.0,2.0,3.0,08:00:00
2019-01-03,3.0,2.0,1.0,09:00:00
2019-01-03,2.0,1.0,1.0,10:00:00
2019-01-03,7.0,4.0,3.0,11:00:00
2019-01-03,4.0,3.0,1.0,12:00:00
2019-01-03,3.0,2.0,1.0,13:00:00
2019-01-03,6.0,3.0,3.0,14:00:00
2019-01-03,3.0,1.0,2.0,15:00:00
2019-01-03,4.0,1.0,3.0,16:00:00
2019-01-03,5.0,0.0,5.0,17:00:00
2019-01-03,3.0,1.0,2.0,18:00:00
2019-01-03,7.0,4.0,3.0,19:00:00
2019-01-03,2.0,1.0,1.0,20:00:00
2019-01-03,2.0,0.0,2.0,21:00:00
2019-01-03,1.0,1.0,0.0,22:00:00
2019-01-03,0.0,0.0,0.0,23:00:00
2019-01-04,0.0,0.0,0.0,00:00:00
2019-01-04,0.0,0.0,0.0,01:00:00
2019-01-04,0.0,0.0,0.0,02:00:00
2019-01-04,0.0,0.0,0.0,03:00:00
2019-01-04,0.0,0.0,0.0,04:00:00
2019-01-04,0.0,0.0,0.0,05:00:00
2019-01-04,0.0,0.0,0.0,06:00:00
2019-01-04,5.0,3.0,2.0,07:00:00
2019-01-04,9.0,5.0,4.0,08:00:00
2019-01-04,7.0,3.0,4.0,09:00:00
2019-01-04,8.0,5.0,3.0,10:00:00
2019-01-04,4.0,2.0,2.0,11:00:00
2019-01-04,3.0,1.0,2.0,12:00:00
2019-01-04,3.0,3.0,0.0,13:00:00
2019-01-04,9.0,2.0,7.0,14:00:00
2019-01-04,10.0,6.0,4.0,15:00:00
2019-01-04,4.0,2.0,2.0,16:00:00
2019-01-04,6.0,6.0,0.0,17:00:00
2019-01-04,8.0,4.0,4.0,18:00:00
2019-01-04,6.0,4.0,2.0,19:00:00
2019-01-04,2.0,1.0,1.0,20:00:00
2019-01-04,2.0,0.0,2.0,21:00:00
2019-01-04,1.0,1.0,0.0,22:00:00
2019-01-04,0.0,0.0,0.0,23:00:00
2019-01-05,2.0,0.0,2.0,00:00:00
2019-01-05,0.0,0.0,0.0,01:00:00
2019-01-05,0.0,0.0,0.0,02:00:00
2019-01-05,0.0,0.0,0.0,03:00:00
2019-01-05,0.0,0.0,0.0,04:00:00
2019-01-05,0.0,0.0,0.0,05:00:00
2019-01-05,0.0,0.0,0.0,06:00:00
2019-01-05,0.0,0.0,0.0,07:00:00
2019-01-05,3.0,1.0,2.0,08:00:00
2019-01-05,1.0,0.0,1.0,09:00:00
2019-01-05,3.0,3.0,0.0,10:00:00
2019-01-05,15.0,12.0,3.0,11:00:00
2019-01-05,11.0,5.0,6.0,12:00:00
2019-01-05,12.0,7.0,5.0,13:00:00
2019-01-05,8.0,4.0,4.0,14:00:00
2019-01-05,18.0,9.0,9.0,15:00:00
2019-01-05,5.0,4.0,1.0,16:00:00
2019-01-05,3.0,1.0,2.0,17:00:00
2019-01-05,2.0,1.0,1.0,18:00:00
2019-01-05,3.0,2.0,1.0,19:00:00
2019-01-05,0.0,0.0,0.0,20:00:00
2019-01-05,0.0,0.0,0.0,21:00:00
2019-01-05,1.0,0.0,1.0,22:00:00
2019-01-05,0.0,0.0,0.0,23:00:00
2019-01-06,0.0,0.0,0.0,00:00:00
2019-01-06,1.0,1.0,0.0,01:00:00
2019-01-06,0.0,0.0,0.0,02:00:00
2019-01-06,0.0,0.0,0.0,03:00:00
2019-01-06,0.0,0.0,0.0,04:00:00
2019-01-06,0.0,0.0,0.0,05:00:00
2019-01-06,0.0,0.0,0.0,06:00:00
2019-01-06,0.0,0.0,0.0,07:00:00
2019-01-06,6.0,3.0,3.0,08:00:00
2019-01-06,2.0,1.0,1.0,09:00:00
2019-01-06,13.0,4.0,9.0,10:00:00
2019-01-06,6.0,4.0,2.0,11:00:00
2019-01-06,10.0,7.0,3.0,12:00:00
2019-01-06,9.0,7.0,2.0,13:00:00
2019-01-06,8.0,4.0,4.0,14:00:00
2019-01-06,4.0,1.0,3.0,15:00:00
2019-01-06,0.0,0.0,0.0,16:00:00
2019-01-06,3.0,1.0,2.0,17:00:00
2019-01-06,0.0,0.0,0.0,18:00:00
2019-01-06,2.0,1.0,1.0,19:00:00
2019-01-06,0.0,0.0,0.0,20:00:00
2019-01-06,1.0,1.0,0.0,21:00:00
2019-01-06,2.0,1.0,1.0,22:00:00
2019-01-06,0.0,0.0,0.0,23:00:00
2019-01-07,0.0,0.0,0.0,00:00:00
2019-01-07,0.0,0.0,0.0,01:00:00
2019-01-07,1.0,0.0,1.0,02:00:00
2019-01-07,0.0,0.0,0.0,03:00:00
2019-01-07,0.0,0.0,0.0,04:00:00
2019-01-07,0.0,0.0,0.0,05:00:00
2019-01-07,4.0,2.0,2.0,06:00:00
2019-01-07,9.0,5.0,4.0,07:00:00
2019-01-07,8.0,2.0,6.0,08:00:00
2019-01-07,6.0,4.0,2.0,09:00:00
2019-01-07,3.0,1.0,2.0,10:00:00
2019-01-07,7.0,7.0,0.0,11:00:00
2019-01-07,3.0,3.0,0.0,12:00:00
2019-01-07,6.0,3.0,3.0,13:00:00
2019-01-07,6.0,2.0,4.0,14:00:00
2019-01-07,8.0,5.0,3.0,15:00:00
2019-01-07,13.0,4.0,9.0,16:00:00
2019-01-07,8.0,4.0,4.0,17:00:00
2019-01-07,13.0,8.0,5.0,18:00:00
2019-01-07,10.0,5.0,5.0,19:00:00
2019-01-07,3.0,0.0,3.0,20:00:00
